law_type,enthesis_length_mm,n_exponent,number_of_layers,predicted_max_vonMises
exponential,5.387755102040816,0,16,7.070850405057272
exponential,5.469387755102041,0,16,7.070850405057272
exponential,5.551020408163265,0,16,7.070850405057272
exponential,5.63265306122449,0,16,7.070850405057272
exponential,5.714285714285714,0,16,7.070850405057272
exponential,5.795918367346939,0,16,7.070850405057272
exponential,5.877551020408163,0,16,7.070850405057272
exponential,5.959183673469388,0,16,7.070850405057272
exponential,6.040816326530612,0,16,7.0122886603673305
exponential,6.122448979591836,0,16,7.0122886603673305
exponential,6.204081632653061,0,16,7.0122886603673305
exponential,6.285714285714286,0,16,7.0122886603673305
exponential,6.36734693877551,0,16,7.0122886603673305
exponential,6.448979591836734,0,16,7.0122886603673305
exponential,6.530612244897959,0,16,7.0122886603673305
exponential,6.612244897959183,0,16,7.0122886603673305
exponential,6.6938775510204085,0,16,7.0122886603673305
exponential,6.775510204081632,0,16,7.0122886603673305
exponential,6.857142857142857,0,16,7.0122886603673305
exponential,6.938775510204081,0,16,7.0122886603673305
exponential,7.020408163265306,0,16,6.562057841618856
exponential,7.1020408163265305,0,16,6.562057841618856
exponential,7.183673469387754,0,16,6.562057841618856
exponential,7.26530612244898,0,16,6.562057841618856
exponential,7.346938775510203,0,16,6.562057841618856
exponential,7.428571428571429,0,16,6.562057841618856
exponential,7.5102040816326525,0,16,6.562057841618856
exponential,7.591836734693877,0,16,6.562057841618856
exponential,7.673469387755102,0,16,6.562057841618856
exponential,7.755102040816326,0,16,6.562057841618856
exponential,7.836734693877551,0,16,6.562057841618856
exponential,7.918367346938775,0,16,6.562057841618856
exponential,8.0,0,16,6.562057841618856
power_law,4.0,3,16,7.424913494202824
power_law,4.081632653061225,3,16,7.424913494202824
power_law,4.163265306122449,3,16,7.424913494202824
power_law,4.244897959183674,3,16,7.424913494202824
power_law,4.326530612244898,3,16,7.424913494202824
power_law,4.408163265306122,3,16,7.424913494202824
power_law,4.489795918367347,3,16,7.424913494202824
power_law,4.571428571428571,3,16,7.424913494202824
power_law,4.653061224489796,3,16,7.424913494202824
power_law,4.73469387755102,3,16,7.424913494202824
power_law,4.816326530612245,3,16,7.424913494202824
power_law,4.8979591836734695,3,16,7.424913494202824
power_law,4.979591836734694,3,16,7.424913494202824
power_law,5.061224489795919,3,16,6.99756551305453
power_law,5.142857142857142,3,16,6.99756551305453
power_law,5.224489795918367,3,16,6.99756551305453
power_law,5.3061224489795915,3,16,6.99756551305453
power_law,5.387755102040816,3,16,6.99756551305453
power_law,5.469387755102041,3,16,6.99756551305453
power_law,5.551020408163265,3,16,6.99756551305453
power_law,5.63265306122449,3,16,6.99756551305453
power_law,5.714285714285714,3,16,6.99756551305453
power_law,5.795918367346939,3,16,6.99756551305453
power_law,5.877551020408163,3,16,6.99756551305453
power_law,5.959183673469388,3,16,6.99756551305453
power_law,6.040816326530612,3,16,6.99756551305453
power_law,6.122448979591836,3,16,6.99756551305453
power_law,6.204081632653061,3,16,6.99756551305453
power_law,6.285714285714286,3,16,6.99756551305453
power_law,6.36734693877551,3,16,6.99756551305453
power_law,6.448979591836734,3,16,6.99756551305453
power_law,6.530612244897959,3,16,6.99756551305453
power_law,6.612244897959183,3,16,6.99756551305453
power_law,6.6938775510204085,3,16,6.99756551305453
power_law,6.775510204081632,3,16,6.99756551305453
power_law,6.857142857142857,3,16,6.99756551305453
power_law,6.938775510204081,3,16,6.99756551305453
power_law,7.020408163265306,3,16,6.656840980887415
power_law,7.1020408163265305,3,16,6.656840980887415
power_law,7.183673469387754,3,16,6.656840980887415
power_law,7.26530612244898,3,16,6.656840980887415
power_law,7.346938775510203,3,16,6.656840980887415
power_law,7.428571428571429,3,16,6.656840980887415
power_law,7.5102040816326525,3,16,6.656840980887415
power_law,7.591836734693877,3,16,6.656840980887415
power_law,7.673469387755102,3,16,6.656840980887415
power_law,7.755102040816326,3,16,6.656840980887415
power_law,7.836734693877551,3,16,6.656840980887415
power_law,7.918367346938775,3,16,6.656840980887415
power_law,8.0,3,16,6.656840980887415
