Model,ElementLabel,X_centroid_mm,Y_centroid_mm,SENER
M17_PWR_n3_L16_nuCost_v1,270,17.8125,3.149999976158142,0.00034367910120636225
M17_PWR_n3_L16_nuCost_v1,271,17.8125,2.850000023841858,0.00034367910120636225
M17_PWR_n3_L16_nuCost_v1,330,18.5,3.149999976158142,0.0003343556309118867
M17_PWR_n3_L16_nuCost_v1,331,18.5,2.850000023841858,0.0003343556309118867
M17_PWR_n3_L16_nuCost_v1,350,19.5,3.149999976158142,0.00036604635533876717
M17_PWR_n3_L16_nuCost_v1,351,19.5,2.850000023841858,0.00036604635533876717
M17_PWR_n3_L16_nuCost_v1,370,20.5,3.149999976158142,0.0004103569081053138
M17_PWR_n3_L16_nuCost_v1,371,20.5,2.850000023841858,0.0004103569081053138
M17_PWR_n3_L16_nuCost_v1,390,21.5,3.149999976158142,0.00044691553921438754
M17_PWR_n3_L16_nuCost_v1,391,21.5,2.850000023841858,0.00044691553921438754
M17_PWR_n3_L16_nuCost_v1,410,22.5,3.149999976158142,0.00047098283539526165
M17_PWR_n3_L16_nuCost_v1,411,22.5,2.850000023841858,0.00047098283539526165
M17_PWR_n3_L16_nuCost_v1,430,23.5,3.149999976158142,0.00048466515727341175
M17_PWR_n3_L16_nuCost_v1,431,23.5,2.850000023841858,0.00048466515727341175
M17_PWR_n3_L16_nuCost_v1,450,24.5,3.149999976158142,0.0004940538783557713
M17_PWR_n3_L16_nuCost_v1,451,24.5,2.850000023841858,0.0004940538783557713
M17_PWR_n3_L16_nuCost_v1,470,25.5,3.149999976158142,0.000502351438626647
M17_PWR_n3_L16_nuCost_v1,471,25.5,2.850000023841858,0.000502351438626647
M17_PWR_n3_L16_nuCost_v1,490,26.5,3.149999976158142,0.0005074402433820069
M17_PWR_n3_L16_nuCost_v1,491,26.5,2.850000023841858,0.0005074402433820069
M17_PWR_n3_L16_nuCost_v1,510,27.5,3.149999976158142,0.0004970963345840573
M17_PWR_n3_L16_nuCost_v1,511,27.5,2.850000023841858,0.0004970963345840573
M17_PWR_n3_L16_nuCost_v1,530,28.5,3.149999976158142,0.00046104282955639064
M17_PWR_n3_L16_nuCost_v1,531,28.5,2.850000023841858,0.00046104282955639064
M17_PWR_n3_L16_nuCost_v1,550,29.5,3.149999976158142,0.00040918475133366883
M17_PWR_n3_L16_nuCost_v1,551,29.5,2.850000023841858,0.00040918475133366883
M18_PWR_n3_L16_nuVar_v1,790,0.5,2.850000023841858,0.048642437905073166
M18_PWR_n3_L16_nuVar_v1,791,0.5,3.149999976158142,0.048642437905073166
M18_PWR_n3_L16_nuVar_v1,770,1.5,2.850000023841858,0.04863938316702843
M18_PWR_n3_L16_nuVar_v1,771,1.5,3.149999976158142,0.04863938316702843
M18_PWR_n3_L16_nuVar_v1,750,2.5,2.850000023841858,0.04863612726330757
M18_PWR_n3_L16_nuVar_v1,751,2.5,3.149999976158142,0.04863612726330757
M18_PWR_n3_L16_nuVar_v1,730,3.5,2.850000023841858,0.048641495406627655
M18_PWR_n3_L16_nuVar_v1,731,3.5,3.149999976158142,0.048641495406627655
M18_PWR_n3_L16_nuVar_v1,710,4.5,2.850000023841858,0.048677023500204086
M18_PWR_n3_L16_nuVar_v1,711,4.5,3.149999976158142,0.048677023500204086
M18_PWR_n3_L16_nuVar_v1,690,5.5,2.850000023841858,0.04878764972090721
M18_PWR_n3_L16_nuVar_v1,691,5.5,3.149999976158142,0.04878764972090721
M18_PWR_n3_L16_nuVar_v1,670,6.5,2.850000023841858,0.04905017092823982
M18_PWR_n3_L16_nuVar_v1,671,6.5,3.149999976158142,0.04905017092823982
M18_PWR_n3_L16_nuVar_v1,650,7.5,2.850000023841858,0.049569860100746155
M18_PWR_n3_L16_nuVar_v1,651,7.5,3.149999976158142,0.049569860100746155
M18_PWR_n3_L16_nuVar_v1,630,8.5,2.850000023841858,0.050416000187397
M18_PWR_n3_L16_nuVar_v1,631,8.5,3.149999976158142,0.050416000187397
M18_PWR_n3_L16_nuVar_v1,610,9.5,2.850000023841858,0.05133984982967377
M18_PWR_n3_L16_nuVar_v1,611,9.5,3.149999976158142,0.05133984982967377
M18_PWR_n3_L16_nuVar_v1,590,10.5,2.850000023841858,0.05127330869436264
M18_PWR_n3_L16_nuVar_v1,591,10.5,3.149999976158142,0.05127330869436264
M18_PWR_n3_L16_nuVar_v1,570,11.5,2.850000023841858,0.04845549911260605
