Model,ElementLabel,X_centroid_mm,Y_centroid_mm,S11
M18_PWR_n3_L16_nuVar_v1,211,15.9375,2.850000023841858,-3.186389923095703
M18_PWR_n3_L16_nuVar_v1,230,16.3125,2.850000023841858,-3.119342088699341
M18_PWR_n3_L16_nuVar_v1,231,16.3125,3.149999976158142,-3.119342088699341
M18_PWR_n3_L16_nuVar_v1,250,16.6875,3.149999976158142,-3.095993995666504
M18_PWR_n3_L16_nuVar_v1,251,16.6875,2.850000023841858,-3.095993995666504
M18_PWR_n3_L16_nuVar_v1,290,17.0625,2.850000023841858,-3.11212158203125
M18_PWR_n3_L16_nuVar_v1,291,17.0625,3.149999976158142,-3.11212158203125
M18_PWR_n3_L16_nuVar_v1,310,17.4375,3.149999976158142,-3.170161724090576
M18_PWR_n3_L16_nuVar_v1,311,17.4375,2.850000023841858,-3.170161724090576
M18_PWR_n3_L16_nuVar_v1,270,17.8125,3.149999976158142,-3.2567760944366455
M18_PWR_n3_L16_nuVar_v1,271,17.8125,2.850000023841858,-3.2567760944366455
M18_PWR_n3_L16_nuVar_v1,330,18.5,3.149999976158142,-3.4773616790771484
M18_PWR_n3_L16_nuVar_v1,331,18.5,2.850000023841858,-3.4773616790771484
M18_PWR_n3_L16_nuVar_v1,350,19.5,3.149999976158142,-3.806205987930298
M18_PWR_n3_L16_nuVar_v1,351,19.5,2.850000023841858,-3.806205987930298
M18_PWR_n3_L16_nuVar_v1,370,20.5,3.149999976158142,-4.085947036743164
M18_PWR_n3_L16_nuVar_v1,371,20.5,2.850000023841858,-4.085947036743164
M18_PWR_n3_L16_nuVar_v1,390,21.5,3.149999976158142,-4.267802715301514
M18_PWR_n3_L16_nuVar_v1,391,21.5,2.850000023841858,-4.267802715301514
M18_PWR_n3_L16_nuVar_v1,410,22.5,3.149999976158142,-4.3669328689575195
M18_PWR_n3_L16_nuVar_v1,411,22.5,2.850000023841858,-4.3669328689575195
M18_PWR_n3_L16_nuVar_v1,430,23.5,3.149999976158142,-4.41534423828125
M18_PWR_n3_L16_nuVar_v1,431,23.5,2.850000023841858,-4.41534423828125
M18_PWR_n3_L16_nuVar_v1,450,24.5,3.149999976158142,-4.446972370147705
M18_PWR_n3_L16_nuVar_v1,451,24.5,2.850000023841858,-4.446972370147705
M18_PWR_n3_L16_nuVar_v1,470,25.5,3.149999976158142,-4.479275226593018
M18_PWR_n3_L16_nuVar_v1,471,25.5,2.850000023841858,-4.479275226593018
M18_PWR_n3_L16_nuVar_v1,490,26.5,3.149999976158142,-4.511742115020752
M18_PWR_n3_L16_nuVar_v1,491,26.5,2.850000023841858,-4.511742115020752
M18_PWR_n3_L16_nuVar_v1,510,27.5,3.149999976158142,-4.5073747634887695
M18_PWR_n3_L16_nuVar_v1,511,27.5,2.850000023841858,-4.5073747634887695
M18_PWR_n3_L16_nuVar_v1,530,28.5,3.149999976158142,-4.417786598205566
M18_PWR_n3_L16_nuVar_v1,531,28.5,2.850000023841858,-4.417786598205566
M18_PWR_n3_L16_nuVar_v1,550,29.5,3.149999976158142,-4.23277473449707
M18_PWR_n3_L16_nuVar_v1,551,29.5,2.850000023841858,-4.23277473449707
