law_type,enthesis_length_mm,n_exponent,number_of_layers,predicted_max_vonMises
linear,6.020202020202021,0,16,8.138791928715175
linear,6.0606060606060606,0,16,8.138791928715175
linear,6.101010101010101,0,16,8.138791928715175
linear,6.141414141414142,0,16,8.138791928715175
linear,6.181818181818182,0,16,8.138791928715175
linear,6.222222222222222,0,16,8.138791928715175
linear,6.262626262626263,0,16,8.138791928715175
linear,6.303030303030303,0,16,8.138791928715175
linear,6.343434343434343,0,16,8.138791928715175
linear,6.383838383838384,0,16,8.138791928715175
linear,6.424242424242424,0,16,8.138791928715175
linear,6.464646464646465,0,16,8.138791928715175
linear,6.505050505050505,0,16,8.138791928715175
linear,6.545454545454546,0,16,8.138791928715175
linear,6.5858585858585865,0,16,8.138791928715175
linear,6.626262626262626,0,16,8.138791928715175
linear,6.666666666666667,0,16,8.138791928715175
linear,6.707070707070708,0,16,8.138791928715175
linear,6.747474747474747,0,16,8.138791928715175
linear,6.787878787878788,0,16,8.138791928715175
linear,6.828282828282829,0,16,8.138791928715175
linear,6.8686868686868685,0,16,8.138791928715175
linear,6.909090909090909,0,16,8.138791928715175
linear,6.94949494949495,0,16,8.138791928715175
linear,6.98989898989899,0,16,8.138791928715175
linear,7.030303030303031,0,16,7.997810066541036
linear,7.070707070707071,0,16,7.997810066541036
linear,7.111111111111111,0,16,7.997810066541036
linear,7.151515151515152,0,16,7.997810066541036
linear,7.191919191919192,0,16,7.997810066541036
linear,7.232323232323233,0,16,7.997810066541036
linear,7.272727272727273,0,16,7.997810066541036
linear,7.313131313131313,0,16,7.997810066541036
linear,7.353535353535354,0,16,7.997810066541036
linear,7.3939393939393945,0,16,7.997810066541036
linear,7.434343434343434,0,16,7.997810066541036
linear,7.474747474747475,0,16,7.997810066541036
linear,7.515151515151516,0,16,7.997810066541036
linear,7.555555555555555,0,16,7.997810066541036
linear,7.595959595959597,0,16,7.997810066541036
linear,7.636363636363637,0,16,7.997810066541036
linear,7.6767676767676765,0,16,7.997810066541036
linear,7.717171717171718,0,16,7.997810066541036
linear,7.757575757575758,0,16,7.997810066541036
linear,7.7979797979797985,0,16,7.997810066541036
linear,7.838383838383839,0,16,7.997810066541036
linear,7.878787878787879,0,16,7.997810066541036
linear,7.91919191919192,0,16,7.997810066541036
linear,7.95959595959596,0,16,7.997810066541036
linear,8.0,0,16,7.997810066541036
exponential,4.0,0,16,7.372342178026835
exponential,4.040404040404041,0,16,7.372342178026835
exponential,4.08080808080808,0,16,7.372342178026835
exponential,4.121212121212121,0,16,7.372342178026835
exponential,4.161616161616162,0,16,7.372342178026835
exponential,4.202020202020202,0,16,7.372342178026835
exponential,4.242424242424242,0,16,7.372342178026835
exponential,4.282828282828283,0,16,7.372342178026835
exponential,4.3232323232323235,0,16,7.372342178026835
exponential,4.363636363636363,0,16,7.372342178026835
exponential,4.404040404040404,0,16,7.372342178026835
exponential,4.444444444444445,0,16,7.372342178026835
exponential,4.484848484848484,0,16,7.372342178026835
exponential,4.525252525252525,0,16,7.372342178026835
exponential,4.565656565656566,0,16,7.372342178026835
exponential,4.606060606060606,0,16,7.372342178026835
exponential,4.646464646464646,0,16,7.372342178026835
exponential,4.686868686868687,0,16,7.372342178026835
exponential,4.7272727272727275,0,16,7.372342178026835
exponential,4.767676767676768,0,16,7.372342178026835
exponential,4.808080808080808,0,16,7.372342178026835
exponential,4.848484848484849,0,16,7.372342178026835
exponential,4.888888888888889,0,16,7.372342178026835
exponential,4.929292929292929,0,16,7.372342178026835
exponential,4.96969696969697,0,16,7.372342178026835
exponential,5.01010101010101,0,16,7.070850405057272
exponential,5.05050505050505,0,16,7.070850405057272
exponential,5.090909090909091,0,16,7.070850405057272
exponential,5.1313131313131315,0,16,7.070850405057272
exponential,5.171717171717171,0,16,7.070850405057272
exponential,5.212121212121212,0,16,7.070850405057272
exponential,5.252525252525253,0,16,7.070850405057272
exponential,5.292929292929293,0,16,7.070850405057272
exponential,5.333333333333334,0,16,7.070850405057272
exponential,5.373737373737374,0,16,7.070850405057272
exponential,5.414141414141414,0,16,7.070850405057272
exponential,5.454545454545455,0,16,7.070850405057272
exponential,5.494949494949495,0,16,7.070850405057272
exponential,5.5353535353535355,0,16,7.070850405057272
exponential,5.575757575757576,0,16,7.070850405057272
exponential,5.616161616161616,0,16,7.070850405057272
exponential,5.656565656565657,0,16,7.070850405057272
exponential,5.696969696969697,0,16,7.070850405057272
exponential,5.737373737373737,0,16,7.070850405057272
exponential,5.777777777777778,0,16,7.070850405057272
exponential,5.818181818181818,0,16,7.070850405057272
exponential,5.858585858585859,0,16,7.070850405057272
exponential,5.8989898989899,0,16,7.070850405057272
exponential,5.9393939393939394,0,16,7.070850405057272
exponential,5.97979797979798,0,16,7.070850405057272
exponential,6.020202020202021,0,16,7.0122886603673305
